name,city,distinct,detail,address,detail_address,franchise,franchise_type,biz_code,위도,경도,rp_key
히든플래닛,서울특별시,강서구,화곡로21길,52,화곡로21길52,FALSE,,,37.57198839,126.9897442,
염창역,서울특별시,강서구,공항대로,627,공항대로627,FALSE,,,37.57061883,126.9892011,
더데이디,서울특별시,강서구,마곡서로,152,마곡서로152,FALSE,,,37.57642045,126.9826004,
컴포즈커피강서대점,서울특별시,강서구,까치산로,127,까치산로127,TRUE,컴포즈,,37.57093143,126.9723234,
달콤한나의도시,서울특별시,강서구,가로공원로76길,44,가로공원로76길44,FALSE,,,37.57634567,126.9693554,
카페하늘빛,서울특별시,강서구,양천로47가길,,양천로47가길,FALSE,,,37.57651797,126.9739741,
리키커피숍,서울특별시,강서구,공항대로8길,41,공항대로8길41,FALSE,,,37.57667085,126.9726835,
카페동네내,서울특별시,강서구,강서로45길,174,강서로45길174,FALSE,,,37.57405103,127.0159954,
쌤카페,서울특별시,강서구,우장산로4길,83,우장산로4길83,FALSE,,,37.57293438,126.9891668,
리트웨이,서울특별시,강서구,수명로,25143,수명로25143,FALSE,,,37.57041171,127.0095537,
감자네와또,서울특별시,강서구,양천로57길,,양천로57길,FALSE,,,37.57767328,126.9860076,
카페센,서울특별시,강서구,개화동로8길,38,개화동로8길38,FALSE,,,37.57519568,127.0128033,
써니비니,서울특별시,강서구,강서로,399,강서로399,FALSE,,,37.57664691,127.0039282,
매머드익스프레스마곡파인스퀘어3차,서울특별시,강서구,마곡중앙8로5길,11,마곡중앙8로5길11,TRUE,메머드,,37.58234955,126.9869238,
빵쌤,서울특별시,강서구,마곡중앙로,21671,마곡중앙로21671,FALSE,,,37.57201534,127.0111614,
스윗라운드,서울특별시,강서구,공항대로53길,31,공항대로53길31,FALSE,,,37.57088859,126.9843675,
설빙,서울특별시,강서구,강서로,380,강서로380,FALSE,,,37.58063398,126.9677687,
앤덴커피,서울특별시,강서구,공항대로,195,공항대로195,FALSE,,,37.5745647,127.0152031,
메가엠지씨커피가양,서울특별시,강서구,양천로,461,양천로461,TRUE,메가,,37.57061772,126.9805529,
커피사피엔스염창한강G트리,서울특별시,강서구,양천로,738,양천로738,FALSE,,,37.60678703,126.9589352,
체르보,서울특별시,강서구,화곡로,176-17,화곡로176-17,FALSE,,,37.57473854,126.9583528,
메가엠지씨커피까치산,서울특별시,강서구,강서로18나길,1,강서로18나길1,TRUE,메가,,37.57019474,127.0162323,
외당,서울특별시,강서구,양천로26길,35,양천로26길35,FALSE,,,37.57313299,126.9948607,
어보블,서울특별시,강서구,양천로24길,66,양천로24길66,FALSE,,,37.57222245,126.98765,
빌리엔젤마곡역점,서울특별시,강서구,마곡중앙로,56,마곡중앙로56,FALSE,,,37.57081727,127.0080936,
비엘씨티디마곡,서울특별시,강서구,마곡중앙6로,65,마곡중앙6로65,FALSE,,,37.56420303,127.0168761,
오지오커피,서울특별시,강서구,공항대로,213,공항대로213,FALSE,,,37.57114816,126.974508,
커피스토리,서울특별시,강서구,등촌로13길,24,등촌로13길24,FALSE,,,37.60654629,126.9669874,
맥반석커피,서울특별시,강서구,공항대로,593,공항대로593,FALSE,,,37.57311461,127.0105389,
커피베이가양더리브점,서울특별시,강서구,양천로,400-12,양천로400-12,FALSE,,,37.57074526,126.9930158,
뚜스뚜스익스프레스,서울특별시,강서구,화곡로,398,화곡로398,FALSE,,,37.56994254,126.9843564,
카페팬시,서울특별시,강서구,화곡로64길,82,화곡로64길82,FALSE,,,37.57088061,127.0000566,
카페인아네스트,서울특별시,강서구,공항대로,593,공항대로593,FALSE,,,37.57049049,126.9747686,
나이아가라라운지카페첼로시아,서울특별시,강서구,양천로,743,양천로743,FALSE,,,37.57154718,127.0063957,
카페프리헷,서울특별시,강서구,마곡서1로,81,마곡서1로81,FALSE,,,37.56743445,126.9678989,
이디야까치산로점,서울특별시,강서구,까치산로,182,까치산로182,TRUE,이디야,,37.57527633,126.9836308,
팔공티마곡벨리오점,서울특별시,강서구,강서로,439,강서로439,FALSE,,,37.57747175,126.9687097,
포이어로스터스,서울특별시,강서구,공항대로,219,공항대로219,FALSE,,,37.56296742,126.9759596,
카페보라,서울특별시,강서구,양천로,376,양천로376,FALSE,,,37.59062996,127.0101451,
데니스커피,서울특별시,강서구,강서로,405,강서로405,FALSE,,,37.56857027,126.9700717,
카밀,서울특별시,강서구,공항대로,140,공항대로140,FALSE,,,37.57085188,126.9799189,
커피타임,서울특별시,강서구,방화동로,14246,방화동로14246,FALSE,,,37.57552972,126.9975661,
모노클,서울특별시,강서구,양천로51길,11,양천로51길11,FALSE,,,37.58251787,126.9708926,
커피588,서울특별시,강서구,강서로7길,147,강서로7길147,FALSE,,,37.54582745,126.9124264,
박스프레소BACSPRESSOMAGOK,서울특별시,강서구,마곡중앙6로,45,마곡중앙6로45,FALSE,,,37.57593506,127.0056829,
이디야화곡본동,서울특별시,강서구,까치산로4길,11,까치산로4길11,TRUE,이디야,,37.5714749,126.9906046,
나우커피점,서울특별시,강서구,마곡서로,158,마곡서로158,FALSE,,,37.59201683,127.0936288,
사월문,서울특별시,강서구,금낭화로15길,11,금낭화로15길11,FALSE,,,37.48512279,127.1309318,
빙빙,서울특별시,강서구,화곡로,242,화곡로242,FALSE,,,37.57306969,126.9910346,
텐퍼센트커피방화역점,서울특별시,강서구,금낭화로,146,금낭화로146,FALSE,,,37.57004268,127.0013697,
카페길,서울특별시,강서구,강서로8길,24,강서로8길24,FALSE,,,37.57149328,127.0015621,
오프레스트커피,서울특별시,강서구,화곡로68길,15,화곡로68길15,FALSE,,,37.57248331,127.0158932,
매머드익스프레스가양양천초점,서울특별시,강서구,양천로49길,39,양천로49길39,TRUE,메머드,,37.57006022,127.0106743,
이디야커피,서울특별시,강서구,양천로,684,양천로684,TRUE,이디야,,37.58735074,126.9966713,
컴포즈커피강서,서울특별시,강서구,방화동로,57,방화동로57,TRUE,컴포즈,,37.56857027,126.9700717,
투썸플레이스,서울특별시,강서구,마곡중앙6로,40,마곡중앙6로40,TRUE,투썸플레이스,,37.58646735,127.0104502,
카페보라,서울특별시,강서구,양천로,376,양천로376,FALSE,,,37.57143922,126.9983926,
스타벅스,서울특별시,강서구,양천로,431,양천로431,TRUE,스타벅스,,37.56748358,127.0080819,
컴포즈커피강서,서울특별시,강서구,화곡로,313,화곡로313,TRUE,컴포즈,,37.57113289,126.999468,
소카크,서울특별시,강서구,마곡동로,56,마곡동로56,FALSE,,,37.57537282,126.9702162,
이스트루페,서울특별시,강서구,등촌로35길,121,등촌로35길121,FALSE,,,37.57194236,126.9816279,
텐퍼센트커피신방화역점,서울특별시,강서구,초원로16길,,초원로16길,FALSE,,,37.57879038,127.0150907,
화곡동,서울특별시,강서구,화곡로,142,화곡로142,FALSE,,,37.57007873,126.9996151,
컴포즈커피마곡,서울특별시,강서구,강서로47길,113,강서로47길113,TRUE,컴포즈,,37.5749431,126.9846497,
와이아이엠펫,서울특별시,강서구,공항대로81길,27,공항대로81길27,FALSE,,,37.57926822,126.9876036,
발산역5번출구,서울특별시,강서구,강서로52길,43,강서로52길43,FALSE,,,37.57493404,126.9842761,
폴바셋강서부민,서울특별시,강서구,공항대로,389,공항대로389,TRUE,폴바셋,,37.57065519,127.0064748,
카페눅눅,서울특별시,강서구,양천로49길,4,양천로49길4,FALSE,,,37.57960803,126.9724334,
더팬,서울특별시,강서구,금낭화로17길,9,금낭화로17길9,FALSE,,,37.57085188,126.9799189,
카페헤니알,서울특별시,강서구,공항대로,237,공항대로237,FALSE,,,37.56862758,126.988692,
오트앤아이보리,서울특별시,강서구,마곡중앙로,161-1,마곡중앙로161-1,FALSE,,,37.60572459,126.9610762,
슈퍼브커피로스터스,서울특별시,강서구,강서로,391,강서로391,FALSE,,,37.56973635,127.0000453,
라벨플레르,서울특별시,강서구,공항대로,382,공항대로382,FALSE,,,37.60838122,126.9573374,
토프레소호서,서울특별시,강서구,강서로56가길,63,강서로56가길63,FALSE,,,37.57287996,127.0142971,
메가엠지씨커피강서,서울특별시,강서구,양천로,401,양천로401,TRUE,메가,,37.58026891,127.0040077,
팔공티,서울특별시,강서구,양천로69길,19,양천로69길19,FALSE,,,37.57843633,126.9707244,
호래이드림,서울특별시,강서구,양천로14나길,29,양천로14나길29,FALSE,,,37.43612429,126.905255,
씨뿔뿔,서울특별시,강서구,강서로,348,강서로348,FALSE,,,37.57352907,127.0105616,
카페게이트강서,서울특별시,강서구,양천로,696,양천로696,FALSE,,,37.58362067,127.0008604,
요정,서울특별시,강서구,강서로43길,49,강서로43길49,FALSE,,,37.57687137,126.9857474,
어반아트박스,서울특별시,강서구,초록마을로,,초록마을로,FALSE,,,37.57980577,126.9704408,
메가엠지씨커피방화역점,서울특별시,강서구,금낭화로,146,금낭화로146,TRUE,메가,,37.5829719,127.0035776,
빽다방마곡리더스,서울특별시,강서구,공항대로,228,공항대로228,TRUE,빽다방,,37.57926821,126.987479,
네이비무드,서울특별시,강서구,공항대로,164,공항대로164,FALSE,,,37.57085188,126.9799189,
